Attribute	Last	Minimum	Maximum	Average	σ
ActiveThreadCount	0.0 	0.0 	3.0 	2.584194214876031 	1.0363612409254856 
Daemon Live Thread Count	25.0 	16.0 	113.0 	90.16069600818827 	27.05235078734623 
Peak Live Thread Count	115.0 	20.0 	115.0 	99.57397959183675 	19.61756185083786 
PoolSize	0.0 	0.0 	3.0 	2.5965909090909096 	1.0186725668484509 
QueuedSubmissionCount	0.0 	0.0 	122.0 	101.9628099173556 	42.63068566618442 
QueuedTaskCount	0.0 	0.0 	0.0 	0.0 	0.0 
RunningThreadCount	0.0 	0.0 	2.0 	0.04080578512396703 	0.20304700003918544 
Total Live Thread Count	27.0 	18.0 	115.0 	92.16069600818827 	27.05235078734624 

